"filename", "language", "JSON", "JSON with Comments", "Docker", "TypeScript JSX", "JavaScript", "TypeScript", "XML", "Markdown", "PostCSS", "comment", "blank", "total"
"d:\freelance\zamda\frontend\src\app\terms\page.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 4, 51
"d:\freelance\zamda\frontend\src\edit\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\freelance\zamda\frontend\src\entities\advertisment\api\get-ads.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\freelance\zamda\frontend\src\entities\advertisment\model\types.ts", "TypeScript", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 6, 80
"d:\freelance\zamda\frontend\src\entities\category\api\get-categories.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"d:\freelance\zamda\frontend\src\entities\category\model\types.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\freelance\zamda\frontend\src\entities\sub-category\api\get-subcategories.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"d:\freelance\zamda\frontend\src\entities\sub-category\model\types.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 0, 10
"d:\freelance\zamda\frontend\src\features\context\auth-context.tsx", "TypeScript JSX", 0, 0, 0, 117, 0, 0, 0, 0, 0, 1, 17, 135
"d:\freelance\zamda\frontend\src\features\hooks\use-like-ad.ts", "TypeScript", 0, 0, 0, 0, 0, 48, 0, 0, 0, 4, 11, 63
"d:\freelance\zamda\frontend\src\features\hooks\use-view-ad.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 8, 37
"d:\freelance\zamda\frontend\src\shared\api\auth.client.ts", "TypeScript", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 14, 75
"d:\freelance\zamda\frontend\src\shared\api\auth.ts", "TypeScript", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 18, 81
"d:\freelance\zamda\frontend\src\shared\api\base.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 6, 35
"d:\freelance\zamda\frontend\src\widgets\ad-actions\index.tsx", "TypeScript JSX", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 17, 167
"d:\freelance\zamda\frontend\src\widgets\ad-map\ad-map.tsx", "TypeScript JSX", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 14, 88
"d:\freelance\zamda\frontend\src\widgets\ad-slider\index.tsx", "TypeScript JSX", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 15, 187
"d:\freelance\zamda\frontend\src\widgets\bottom-nav\index.tsx", "TypeScript JSX", 0, 0, 0, 50, 0, 0, 0, 0, 0, 5, 10, 65
"d:\freelance\zamda\frontend\src\widgets\category-dropdown\index.tsx", "TypeScript JSX", 0, 0, 0, 69, 0, 0, 0, 0, 0, 2, 8, 79
"d:\freelance\zamda\frontend\src\widgets\dots\index.tsx", "TypeScript JSX", 0, 0, 0, 168, 0, 0, 0, 0, 0, 6, 23, 197
"d:\freelance\zamda\frontend\src\widgets\filters\index.tsx", "TypeScript JSX", 0, 0, 0, 280, 0, 0, 0, 0, 0, 0, 36, 316
"d:\freelance\zamda\frontend\src\widgets\footer\index.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 48
"d:\freelance\zamda\frontend\src\widgets\header\index.tsx", "TypeScript JSX", 0, 0, 0, 120, 0, 0, 0, 0, 0, 10, 12, 142
"d:\freelance\zamda\frontend\src\widgets\image-uploader\ImageUploader.tsx", "TypeScript JSX", 0, 0, 0, 88, 0, 0, 0, 0, 0, 1, 16, 105
"d:\freelance\zamda\frontend\src\widgets\location-map\LocationMap.tsx", "TypeScript JSX", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 10, 72
"d:\freelance\zamda\frontend\src\widgets\map\map-click-handler\index.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"d:\freelance\zamda\frontend\src\widgets\search-bar\index.tsx", "TypeScript JSX", 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 11, 107
"d:\freelance\zamda\frontend\src\widgets\sidebar\index.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 5, 76
"d:\freelance\zamda\frontend\src\widgets\start-chat-button\index.tsx", "TypeScript JSX", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 15, 73
"d:\freelance\zamda\frontend\tsconfig.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 5355, 27, 16, 5421, 18, 370, 4, 23, 26, 87, 790, 12137
